Date,Category,Amount,Description
2026-01-01,Food,1250.00,Monthly grocery shopping
2026-01-02,Transport,450.00,Ola cab to office
2026-01-03,Food,320.00,Lunch at restaurant
2026-01-05,Entertainment,1800.00,Movie tickets + popcorn
2026-01-07,Shopping,2500.00,Clothes from Myntra
2026-01-10,Food,890.00,Dinner with friends
2026-01-12,Transport,120.00,Bus pass recharge
2026-01-15,Food,675.00,Weekend brunch
2026-01-18,Shopping,3400.00,Laptop accessories
2026-01-20,Entertainment,950.00,Netflix subscription + Spotify
2026-01-22,Food,210.00,Coffee at Starbucks
2026-01-25,Transport,2800.00,Fuel for personal car
2026-01-27,Other,500.00,Medical checkup
2026-01-28,Food,1450.00,Family dinner
